date_key,date
25709,05/21/2020
25710,05/22/2020
25711,05/23/2020
25712,05/24/2020
25713,05/25/2020
25714,05/26/2020
25715,05/27/2020
25716,05/28/2020
25717,05/29/2020
25718,05/30/2020
25719,05/31/2020
25720,06/01/2020
25721,06/02/2020
25722,06/03/2020
25723,06/04/2020
25724,06/05/2020
25725,06/06/2020
25726,06/07/2020
25727,06/08/2020
25728,06/09/2020
25729,06/10/2020
25730,06/11/2020
25731,06/12/2020
25732,06/13/2020
25733,06/14/2020
25734,06/15/2020
25735,06/16/2020
25736,06/17/2020
25737,06/18/2020
25738,06/19/2020
25739,06/20/2020
25740,06/21/2020
25741,06/22/2020
25742,06/23/2020
25743,06/24/2020
25744,06/25/2020
25745,06/26/2020
25746,06/27/2020
25747,06/28/2020
25748,06/29/2020
25749,06/30/2020
25750,07/01/2020
25751,07/02/2020
25752,07/03/2020
25753,07/04/2020
25754,07/05/2020
25755,07/06/2020
25756,07/07/2020
25757,07/08/2020
25758,07/09/2020
25759,07/10/2020
25760,07/11/2020
25761,07/12/2020
25762,07/13/2020
25763,07/14/2020
25764,07/15/2020
25765,07/16/2020
25766,07/17/2020
25767,07/18/2020
25768,07/19/2020
25769,07/20/2020
25770,07/21/2020
25771,07/22/2020
25772,07/23/2020
25773,07/24/2020
25774,07/25/2020
25775,07/26/2020
25776,07/27/2020
25777,07/28/2020
25778,07/29/2020
25779,07/30/2020
25780,07/31/2020
25781,08/01/2020
25782,08/02/2020
25783,08/03/2020
25784,08/04/2020
25785,08/05/2020
25786,08/06/2020
25787,08/07/2020
25788,08/08/2020
25789,08/09/2020
25790,08/10/2020
25791,08/11/2020
25792,08/12/2020
25793,08/13/2020
25794,08/14/2020
25795,08/15/2020
25796,08/16/2020
25797,08/17/2020
25798,08/18/2020
25799,08/19/2020
25800,08/20/2020
25801,08/21/2020
25802,08/22/2020
25803,08/23/2020
25804,08/24/2020
25805,08/25/2020
25806,08/26/2020
25807,08/27/2020
25808,08/28/2020
25809,08/29/2020
25810,08/30/2020
25811,08/31/2020
25812,09/01/2020
25813,09/02/2020
25814,09/03/2020
25815,09/04/2020
25816,09/05/2020
25817,09/06/2020
25818,09/07/2020
25819,09/08/2020
25820,09/09/2020
25821,09/10/2020
25822,09/11/2020
25823,09/12/2020
25824,09/13/2020
25825,09/14/2020
25826,09/15/2020
25827,09/16/2020
25828,09/17/2020
25829,09/18/2020
25830,09/19/2020
25831,09/20/2020
25832,09/21/2020
25833,09/22/2020
25834,09/23/2020
25835,09/24/2020
25836,09/25/2020
25837,09/26/2020
25838,09/27/2020
25839,09/28/2020
25840,09/29/2020
25841,09/30/2020
25842,10/01/2020
25843,10/02/2020
25844,10/03/2020
25845,10/04/2020
25846,10/05/2020
25847,10/06/2020
25848,10/07/2020
25849,10/08/2020
25850,10/09/2020
25851,10/10/2020
25852,10/11/2020
25853,10/12/2020
25854,10/13/2020
25855,10/14/2020
25856,10/15/2020
25857,10/16/2020
25858,10/17/2020
25859,10/18/2020
25860,10/19/2020
25861,10/20/2020
25862,10/21/2020
25863,10/22/2020
25864,10/23/2020
25865,10/24/2020
25866,10/25/2020
25867,10/26/2020
25868,10/27/2020
25869,10/28/2020
25870,10/29/2020
25871,10/30/2020
25872,10/31/2020
25873,11/01/2020
25874,11/02/2020
25875,11/03/2020
25876,11/04/2020
25877,11/05/2020
25878,11/06/2020
25879,11/07/2020
25880,11/08/2020
25881,11/09/2020
25882,11/10/2020
25883,11/11/2020
25884,11/12/2020
25885,11/13/2020
25886,11/14/2020
25887,11/15/2020
25888,11/16/2020
25889,11/17/2020
25890,11/18/2020
25891,11/19/2020
25892,11/20/2020
25893,11/21/2020
25894,11/22/2020
25895,11/23/2020
25896,11/24/2020
25897,11/25/2020
25898,11/26/2020
25899,11/27/2020
25900,11/28/2020
25901,11/29/2020
25902,11/30/2020
25903,12/01/2020
25904,12/02/2020
25905,12/03/2020
25906,12/04/2020
25907,12/05/2020
25908,12/06/2020
25909,12/07/2020
25910,12/08/2020
25911,12/09/2020
25912,12/10/2020
25913,12/11/2020
25914,12/12/2020
25915,12/13/2020
25916,12/14/2020
25917,12/15/2020
25918,12/16/2020
25919,12/17/2020
25920,12/18/2020
25921,12/19/2020
25922,12/20/2020
25923,12/21/2020
25924,12/22/2020
25925,12/23/2020
25926,12/24/2020
25927,12/25/2020
25928,12/26/2020
25929,12/27/2020
25930,12/28/2020
25931,12/29/2020
25932,12/30/2020
25933,12/31/2020
25934,01/01/2021
25935,01/02/2021
25936,01/03/2021
25937,01/04/2021
25938,01/05/2021
25939,01/06/2021
25940,01/07/2021
25941,01/08/2021
25942,01/09/2021
25943,01/10/2021
25944,01/11/2021
25945,01/12/2021
25946,01/13/2021
25947,01/14/2021
25948,01/15/2021
25949,01/16/2021
25950,01/17/2021
25951,01/18/2021
25952,01/19/2021
25953,01/20/2021
25954,01/21/2021
25955,01/22/2021
25956,01/23/2021
25957,01/24/2021
25958,01/25/2021
25959,01/26/2021
25960,01/27/2021
25961,01/28/2021
25962,01/29/2021
25963,01/30/2021
25964,01/31/2021
25965,02/01/2021
25966,02/02/2021
25967,02/03/2021
25968,02/04/2021
25969,02/05/2021
25970,02/06/2021
25971,02/07/2021
25972,02/08/2021
25973,02/09/2021
25974,02/10/2021
25975,02/11/2021
25976,02/12/2021
25977,02/13/2021
25978,02/14/2021
25979,02/15/2021
25980,02/16/2021
25981,02/17/2021
25982,02/18/2021
25983,02/19/2021
25984,02/20/2021
25985,02/21/2021
25986,02/22/2021
25987,02/23/2021
25988,02/24/2021
25989,02/25/2021
25990,02/26/2021
25991,02/27/2021
25992,02/28/2021
25993,03/01/2021
25994,03/02/2021
25995,03/03/2021
25996,03/04/2021
25997,03/05/2021
25998,03/06/2021
25999,03/07/2021
26000,03/08/2021
26001,03/09/2021
26002,03/10/2021
26003,03/11/2021
26004,03/12/2021
26005,03/13/2021
26006,03/14/2021
26007,03/15/2021
26008,03/16/2021
26009,03/17/2021
26010,03/18/2021
26011,03/19/2021
26012,03/20/2021
26013,03/21/2021
26014,03/22/2021
26015,03/23/2021
26016,03/24/2021
26017,03/25/2021
26018,03/26/2021
26019,03/27/2021
26020,03/28/2021
26021,03/29/2021
26022,03/30/2021
26023,03/31/2021
26024,04/01/2021
26025,04/02/2021
26026,04/03/2021
26027,04/04/2021
26028,04/05/2021
26029,04/06/2021
26030,04/07/2021
26031,04/08/2021
26032,04/09/2021
26033,04/10/2021
26034,04/11/2021
26035,04/12/2021
26036,04/13/2021
26037,04/14/2021
26038,04/15/2021
26039,04/16/2021
26040,04/17/2021
26041,04/18/2021
26042,04/19/2021
26043,04/20/2021
26044,04/21/2021
26045,04/22/2021
26046,04/23/2021
26047,04/24/2021
26048,04/25/2021
26049,04/26/2021
26050,04/27/2021
26051,04/28/2021
26052,04/29/2021
26053,04/30/2021
26054,05/01/2021
26055,05/02/2021
26056,05/03/2021
26057,05/04/2021
26058,05/05/2021
26059,05/06/2021
26060,05/07/2021
26061,05/08/2021
26062,05/09/2021
26063,05/10/2021
26064,05/11/2021
26065,05/12/2021
26066,05/13/2021
26067,05/14/2021
26068,05/15/2021
26069,05/16/2021
26070,05/17/2021
26071,05/18/2021
26072,05/19/2021
26073,05/20/2021
26074,05/21/2021
26075,05/22/2021
26076,05/23/2021
26077,05/24/2021
26078,05/25/2021
26079,05/26/2021
26080,05/27/2021
26081,05/28/2021
26082,05/29/2021
26083,05/30/2021
26084,05/31/2021
26085,06/01/2021
26086,06/02/2021
26087,06/03/2021
26088,06/04/2021
26089,06/05/2021
26090,06/06/2021
26091,06/07/2021
26092,06/08/2021
26093,06/09/2021
26094,06/10/2021
26095,06/11/2021
26096,06/12/2021
26097,06/13/2021
26098,06/14/2021
26099,06/15/2021
26100,06/16/2021
26101,06/17/2021
26102,06/18/2021
26103,06/19/2021
26104,06/20/2021
26105,06/21/2021
26106,06/22/2021
26107,06/23/2021
26108,06/24/2021
26109,06/25/2021
26110,06/26/2021
26111,06/27/2021
26112,06/28/2021
26113,06/29/2021
26114,06/30/2021
26115,07/01/2021
26116,07/02/2021
26117,07/03/2021
26118,07/04/2021
26119,07/05/2021
26120,07/06/2021
26121,07/07/2021
26122,07/08/2021
26123,07/09/2021
26124,07/10/2021
26125,07/11/2021
26126,07/12/2021
26127,07/13/2021
26128,07/14/2021
26129,07/15/2021
26130,07/16/2021
26131,07/17/2021
26132,07/18/2021
26133,07/19/2021
26134,07/20/2021
26135,07/21/2021
26136,07/22/2021
26137,07/23/2021
26138,07/24/2021
26139,07/25/2021
26140,07/26/2021
26141,07/27/2021
26142,07/28/2021
26143,07/29/2021
26144,07/30/2021
26145,07/31/2021
26146,08/01/2021
26147,08/02/2021
26148,08/03/2021
26149,08/04/2021
26150,08/05/2021
26151,08/06/2021
26152,08/07/2021
26153,08/08/2021
26154,08/09/2021
26155,08/10/2021
26156,08/11/2021
26157,08/12/2021
26158,08/13/2021
26159,08/14/2021
26160,08/15/2021
26161,08/16/2021
26162,08/17/2021
26163,08/18/2021
26164,08/19/2021
26165,08/20/2021
26166,08/21/2021
26167,08/22/2021
26168,08/23/2021
26169,08/24/2021
26170,08/25/2021
26171,08/26/2021
26172,08/27/2021
26173,08/28/2021
26174,08/29/2021
26175,08/30/2021
26176,08/31/2021
26177,09/01/2021
26178,09/02/2021
26179,09/03/2021
26180,09/04/2021
26181,09/05/2021
26182,09/06/2021
26183,09/07/2021
26184,09/08/2021
26185,09/09/2021
26186,09/10/2021
26187,09/11/2021
26188,09/12/2021
26189,09/13/2021
26190,09/14/2021
26191,09/15/2021
26192,09/16/2021
26193,09/17/2021
26194,09/18/2021
26195,09/19/2021
26196,09/20/2021
26197,09/21/2021
26198,09/22/2021
26199,09/23/2021
26200,09/24/2021
26201,09/25/2021
26202,09/26/2021
26203,09/27/2021
26204,09/28/2021
26205,09/29/2021
26206,09/30/2021
26207,10/01/2021
26208,10/02/2021
26209,10/03/2021
26210,10/04/2021
26211,10/05/2021
26212,10/06/2021
26213,10/07/2021
26214,10/08/2021
26215,10/09/2021
26216,10/10/2021
26217,10/11/2021
26218,10/12/2021
26219,10/13/2021
26220,10/14/2021
26221,10/15/2021
26222,10/16/2021
26223,10/17/2021
26224,10/18/2021
26225,10/19/2021
26226,10/20/2021
26227,10/21/2021
26228,10/22/2021
26229,10/23/2021
26230,10/24/2021
26231,10/25/2021
26232,10/26/2021
26233,10/27/2021
26234,10/28/2021
26235,10/29/2021
26236,10/30/2021
26237,10/31/2021
26238,11/01/2021
26239,11/02/2021
26240,11/03/2021
26241,11/04/2021
26242,11/05/2021
26243,11/06/2021
26244,11/07/2021
26245,11/08/2021
26246,11/09/2021
26247,11/10/2021
26248,11/11/2021
26249,11/12/2021
26250,11/13/2021
26251,11/14/2021
26252,11/15/2021
26253,11/16/2021
26254,11/17/2021
26255,11/18/2021
26256,11/19/2021
26257,11/20/2021
26258,11/21/2021
26259,11/22/2021
26260,11/23/2021
26261,11/24/2021
26262,11/25/2021
26263,11/26/2021
26264,11/27/2021
26265,11/28/2021
26266,11/29/2021
26267,11/30/2021
26268,12/01/2021
26269,12/02/2021
26270,12/03/2021
26271,12/04/2021
26272,12/05/2021
26273,12/06/2021
26274,12/07/2021
26275,12/08/2021
26276,12/09/2021
26277,12/10/2021
26278,12/11/2021
26279,12/12/2021
26280,12/13/2021
26281,12/14/2021
26282,12/15/2021
26283,12/16/2021
26284,12/17/2021
26285,12/18/2021
26286,12/19/2021
26287,12/20/2021
26288,12/21/2021
26289,12/22/2021
26290,12/23/2021
26291,12/24/2021
26292,12/25/2021
26293,12/26/2021
26294,12/27/2021
26295,12/28/2021
26296,12/29/2021
26297,12/30/2021
26298,12/31/2021
26299,01/01/2022
26300,01/02/2022
26301,01/03/2022
26302,01/04/2022
26303,01/05/2022
26304,01/06/2022
26305,01/07/2022
26306,01/08/2022
26307,01/09/2022
26308,01/10/2022
26309,01/11/2022
26310,01/12/2022
26311,01/13/2022
26312,01/14/2022
26313,01/15/2022
26314,01/16/2022
26315,01/17/2022
26316,01/18/2022
26317,01/19/2022
26318,01/20/2022
26319,01/21/2022
26320,01/22/2022
26321,01/23/2022
26322,01/24/2022
26323,01/25/2022
26324,01/26/2022
26325,01/27/2022
26326,01/28/2022
26327,01/29/2022
26328,01/30/2022
26329,01/31/2022
26330,02/01/2022
26331,02/02/2022
26332,02/03/2022
26333,02/04/2022
26334,02/05/2022
26335,02/06/2022
26336,02/07/2022
26337,02/08/2022
26338,02/09/2022
26339,02/10/2022
26340,02/11/2022
26341,02/12/2022
26342,02/13/2022
26343,02/14/2022
26344,02/15/2022
26345,02/16/2022
26346,02/17/2022
26347,02/18/2022
26348,02/19/2022
26349,02/20/2022
26350,02/21/2022
26351,02/22/2022
26352,02/23/2022
26353,02/24/2022
26354,02/25/2022
26355,02/26/2022
26356,02/27/2022
26357,02/28/2022
26358,03/01/2022
26359,03/02/2022
26360,03/03/2022
26361,03/04/2022
26362,03/05/2022
26363,03/06/2022
26364,03/07/2022
26365,03/08/2022
26366,03/09/2022
26367,03/10/2022
26368,03/11/2022
26369,03/12/2022
26370,03/13/2022
26371,03/14/2022
26372,03/15/2022
26373,03/16/2022
26374,03/17/2022
26375,03/18/2022
26376,03/19/2022
26377,03/20/2022
26378,03/21/2022
26379,03/22/2022
26380,03/23/2022
26381,03/24/2022
26382,03/25/2022
26383,03/26/2022
26384,03/27/2022
26385,03/28/2022
26386,03/29/2022
26387,03/30/2022
26388,03/31/2022
26389,04/01/2022
26390,04/02/2022
26391,04/03/2022
26392,04/04/2022
26393,04/05/2022
26394,04/06/2022
26395,04/07/2022
26396,04/08/2022
26397,04/09/2022
26398,04/10/2022
26399,04/11/2022
26400,04/12/2022
26401,04/13/2022
26402,04/14/2022
26403,04/15/2022
26404,04/16/2022
26405,04/17/2022
26406,04/18/2022
26407,04/19/2022
26408,04/20/2022
26409,04/21/2022
26410,04/22/2022
26411,04/23/2022
26412,04/24/2022
26413,04/25/2022
26414,04/26/2022
26415,04/27/2022
26416,04/28/2022
26417,04/29/2022
26418,04/30/2022
26419,05/01/2022
26420,05/02/2022
26421,05/03/2022
26422,05/04/2022
26423,05/05/2022
26424,05/06/2022
26425,05/07/2022
26426,05/08/2022
26427,05/09/2022
26428,05/10/2022
26429,05/11/2022
26430,05/12/2022
26431,05/13/2022
26432,05/14/2022
26433,05/15/2022
26434,05/16/2022
26435,05/17/2022
26436,05/18/2022
26437,05/19/2022
26438,05/20/2022
26439,05/21/2022
26440,05/22/2022
26441,05/23/2022
26442,05/24/2022
26443,05/25/2022
26444,05/26/2022
26445,05/27/2022
26446,05/28/2022
26447,05/29/2022
26448,05/30/2022
26449,05/31/2022
26450,06/01/2022
26451,06/02/2022
26452,06/03/2022
26453,06/04/2022
26454,06/05/2022
26455,06/06/2022
26456,06/07/2022
26457,06/08/2022
26458,06/09/2022
26459,06/10/2022
26460,06/11/2022
26461,06/12/2022
26462,06/13/2022
26463,06/14/2022
26464,06/15/2022
26465,06/16/2022
26466,06/17/2022
26467,06/18/2022
26468,06/19/2022
26469,06/20/2022
26470,06/21/2022
26471,06/22/2022
26472,06/23/2022
26473,06/24/2022
26474,06/25/2022
26475,06/26/2022
26476,06/27/2022
26477,06/28/2022
26478,06/29/2022
26479,06/30/2022
26480,07/01/2022
26481,07/02/2022
26482,07/03/2022
26483,07/04/2022
26484,07/05/2022
26485,07/06/2022
26486,07/07/2022
26487,07/08/2022
26488,07/09/2022
26489,07/10/2022
26490,07/11/2022
26491,07/12/2022
26492,07/13/2022
26493,07/14/2022
26494,07/15/2022
26495,07/16/2022
26496,07/17/2022
26497,07/18/2022
26498,07/19/2022
26499,07/20/2022
26500,07/21/2022
26501,07/22/2022
26502,07/23/2022
26503,07/24/2022
26504,07/25/2022
26505,07/26/2022
26506,07/27/2022
26507,07/28/2022
26508,07/29/2022
26509,07/30/2022
26510,07/31/2022
26511,08/01/2022
26512,08/02/2022
26513,08/03/2022
26514,08/04/2022
26515,08/05/2022
26516,08/06/2022
26517,08/07/2022
26518,08/08/2022
26519,08/09/2022
26520,08/10/2022
26521,08/11/2022
26522,08/12/2022
26523,08/13/2022
26524,08/14/2022
26525,08/15/2022
26526,08/16/2022
26527,08/17/2022
26528,08/18/2022
26529,08/19/2022
26530,08/20/2022
26531,08/21/2022
26532,08/22/2022
26533,08/23/2022
26534,08/24/2022
26535,08/25/2022
26536,08/26/2022
26537,08/27/2022
26538,08/28/2022
26539,08/29/2022
26540,08/30/2022
26541,08/31/2022
26542,09/01/2022
26543,09/02/2022
26544,09/03/2022
26545,09/04/2022
26546,09/05/2022
26547,09/06/2022
26548,09/07/2022
26549,09/08/2022
26550,09/09/2022
26551,09/10/2022
26552,09/11/2022
26553,09/12/2022
26554,09/13/2022
26555,09/14/2022
26556,09/15/2022
26557,09/16/2022
26558,09/17/2022
26559,09/18/2022
26560,09/19/2022
26561,09/20/2022
26562,09/21/2022
26563,09/22/2022
26564,09/23/2022
26565,09/24/2022
26566,09/25/2022
26567,09/26/2022
26568,09/27/2022
26569,09/28/2022
26570,09/29/2022
26571,09/30/2022
26572,10/01/2022
26573,10/02/2022
26574,10/03/2022
26575,10/04/2022
26576,10/05/2022
26577,10/06/2022
26578,10/07/2022
26579,10/08/2022
26580,10/09/2022
26581,10/10/2022
26582,10/11/2022
26583,10/12/2022
26584,10/13/2022
26585,10/14/2022
26586,10/15/2022
26587,10/16/2022
26588,10/17/2022
26589,10/18/2022
26590,10/19/2022
26591,10/20/2022
26592,10/21/2022
26593,10/22/2022
26594,10/23/2022
26595,10/24/2022
26596,10/25/2022
26597,10/26/2022
26598,10/27/2022
26599,10/28/2022
26600,10/29/2022
26601,10/30/2022
26602,10/31/2022
26603,11/01/2022
26604,11/02/2022
26605,11/03/2022
26606,11/04/2022
26607,11/05/2022
26608,11/06/2022
26609,11/07/2022
26610,11/08/2022
26611,11/09/2022
26612,11/10/2022
26613,11/11/2022
26614,11/12/2022
26615,11/13/2022
26616,11/14/2022
26617,11/15/2022
26618,11/16/2022
26619,11/17/2022
26620,11/18/2022
26621,11/19/2022
26622,11/20/2022
26623,11/21/2022
26624,11/22/2022
26625,11/23/2022
26626,11/24/2022
26627,11/25/2022
26628,11/26/2022
26629,11/27/2022
26630,11/28/2022
26631,11/29/2022
26632,11/30/2022
26633,12/01/2022
26634,12/02/2022
26635,12/03/2022
26636,12/04/2022
26637,12/05/2022
26638,12/06/2022
26639,12/07/2022
26640,12/08/2022
26641,12/09/2022
26642,12/10/2022
26643,12/11/2022
26644,12/12/2022
26645,12/13/2022
26646,12/14/2022
26647,12/15/2022
26648,12/16/2022
26649,12/17/2022
26650,12/18/2022
26651,12/19/2022
26652,12/20/2022
26653,12/21/2022
26654,12/22/2022
26655,12/23/2022
26656,12/24/2022
26657,12/25/2022
26658,12/26/2022
26659,12/27/2022
26660,12/28/2022
26661,12/29/2022
26662,12/30/2022
26663,12/31/2022
26664,01/01/2023
26665,01/02/2023
26666,01/03/2023
26667,01/04/2023
26668,01/05/2023
26669,01/06/2023
26670,01/07/2023
26671,01/08/2023
26672,01/09/2023
26673,01/10/2023
26674,01/11/2023
26675,01/12/2023
26676,01/13/2023
26677,01/14/2023
26678,01/15/2023
26679,01/16/2023
26680,01/17/2023
26681,01/18/2023
26682,01/19/2023
26683,01/20/2023
26684,01/21/2023
26685,01/22/2023
26686,01/23/2023
26687,01/24/2023
26688,01/25/2023
26689,01/26/2023
26690,01/27/2023
26691,01/28/2023
26692,01/29/2023
26693,01/30/2023
26694,01/31/2023
26695,02/01/2023
26696,02/02/2023
26697,02/03/2023
26698,02/04/2023
26699,02/05/2023
26700,02/06/2023
26701,02/07/2023
26702,02/08/2023
26703,02/09/2023
26704,02/10/2023
26705,02/11/2023
26706,02/12/2023
26707,02/13/2023
26708,02/14/2023
26709,02/15/2023
26710,02/16/2023
26711,02/17/2023
26712,02/18/2023
26713,02/19/2023
26714,02/20/2023
26715,02/21/2023
26716,02/22/2023
26717,02/23/2023
26718,02/24/2023
26719,02/25/2023
26720,02/26/2023
26721,02/27/2023
26722,02/28/2023
26723,03/01/2023
26724,03/02/2023
26725,03/03/2023
26726,03/04/2023
26727,03/05/2023
26728,03/06/2023
26729,03/07/2023
26730,03/08/2023
26731,03/09/2023
26732,03/10/2023
26733,03/11/2023
26734,03/12/2023
26735,03/13/2023
26736,03/14/2023
26737,03/15/2023
26738,03/16/2023
26739,03/17/2023
26740,03/18/2023
26741,03/19/2023
26742,03/20/2023
26743,03/21/2023
26744,03/22/2023
26745,03/23/2023
26746,03/24/2023
26747,03/25/2023
26748,03/26/2023
26749,03/27/2023
26750,03/28/2023
26751,03/29/2023
26752,03/30/2023
26753,03/31/2023
26754,04/01/2023
26755,04/02/2023
26756,04/03/2023
26757,04/04/2023
26758,04/05/2023
26759,04/06/2023
26760,04/07/2023
26761,04/08/2023
26762,04/09/2023
26763,04/10/2023
26764,04/11/2023
26765,04/12/2023
26766,04/13/2023
26767,04/14/2023
26768,04/15/2023
26769,04/16/2023
26770,04/17/2023
26771,04/18/2023
26772,04/19/2023
26773,04/20/2023
26774,04/21/2023
26775,04/22/2023
26776,04/23/2023
26777,04/24/2023
26778,04/25/2023
26779,04/26/2023
26780,04/27/2023
26781,04/28/2023
26782,04/29/2023
26783,04/30/2023
26784,05/01/2023
26785,05/02/2023
26786,05/03/2023
26787,05/04/2023
26788,05/05/2023
26789,05/06/2023
26790,05/07/2023
26791,05/08/2023
26792,05/09/2023
26793,05/10/2023
26794,05/11/2023
26795,05/12/2023
26796,05/13/2023
26797,05/14/2023
26798,05/15/2023
26799,05/16/2023
26800,05/17/2023
26801,05/18/2023
26802,05/19/2023
26803,05/20/2023
26804,05/21/2023
26805,05/22/2023
26806,05/23/2023
26807,05/24/2023
26808,05/25/2023
26809,05/26/2023
26810,05/27/2023
26811,05/28/2023
26812,05/29/2023
26813,05/30/2023
26814,05/31/2023
26815,06/01/2023
26816,06/02/2023
26817,06/03/2023
26818,06/04/2023
26819,06/05/2023
26820,06/06/2023
26821,06/07/2023
26822,06/08/2023
26823,06/09/2023
26824,06/10/2023
26825,06/11/2023
26826,06/12/2023
26827,06/13/2023
26828,06/14/2023
26829,06/15/2023
26830,06/16/2023
26831,06/17/2023
26832,06/18/2023
26833,06/19/2023
26834,06/20/2023
26835,06/21/2023
26836,06/22/2023
26837,06/23/2023
26838,06/24/2023
26839,06/25/2023
26840,06/26/2023
26841,06/27/2023
26842,06/28/2023
26843,06/29/2023
26844,06/30/2023
26845,07/01/2023
26846,07/02/2023
26847,07/03/2023
26848,07/04/2023
26849,07/05/2023
26850,07/06/2023
26851,07/07/2023
26852,07/08/2023
26853,07/09/2023
26854,07/10/2023
26855,07/11/2023
26856,07/12/2023
26857,07/13/2023
26858,07/14/2023
26859,07/15/2023
26860,07/16/2023
26861,07/17/2023
26862,07/18/2023
26863,07/19/2023
26864,07/20/2023
26865,07/21/2023
26866,07/22/2023
26867,07/23/2023
26868,07/24/2023
26869,07/25/2023
26870,07/26/2023
26871,07/27/2023
26872,07/28/2023
26873,07/29/2023
26874,07/30/2023
26875,07/31/2023
26876,08/01/2023
26877,08/02/2023
26878,08/03/2023
26879,08/04/2023
26880,08/05/2023
26881,08/06/2023
26882,08/07/2023
26883,08/08/2023
26884,08/09/2023
26885,08/10/2023
26886,08/11/2023
26887,08/12/2023
26888,08/13/2023
26889,08/14/2023
26890,08/15/2023
26891,08/16/2023
26892,08/17/2023
26893,08/18/2023
26894,08/19/2023
26895,08/20/2023
26896,08/21/2023
26897,08/22/2023
26898,08/23/2023
26899,08/24/2023
26900,08/25/2023
26901,08/26/2023
26902,08/27/2023
26903,08/28/2023
26904,08/29/2023
26905,08/30/2023
26906,08/31/2023
26907,09/01/2023
26908,09/02/2023
26909,09/03/2023
26910,09/04/2023
26911,09/05/2023
26912,09/06/2023
26913,09/07/2023
26914,09/08/2023
26915,09/09/2023
26916,09/10/2023
26917,09/11/2023
26918,09/12/2023
26919,09/13/2023
26920,09/14/2023
26921,09/15/2023
26922,09/16/2023
26923,09/17/2023
26924,09/18/2023
26925,09/19/2023
26926,09/20/2023
26927,09/21/2023
26928,09/22/2023
26929,09/23/2023
26930,09/24/2023
26931,09/25/2023
26932,09/26/2023
26933,09/27/2023
26934,09/28/2023
26935,09/29/2023
26936,09/30/2023
26937,10/01/2023
26938,10/02/2023
26939,10/03/2023
26940,10/04/2023
26941,10/05/2023
26942,10/06/2023
26943,10/07/2023
26944,10/08/2023
26945,10/09/2023
26946,10/10/2023
26947,10/11/2023
26948,10/12/2023
26949,10/13/2023
26950,10/14/2023
26951,10/15/2023
26952,10/16/2023
26953,10/17/2023
26954,10/18/2023
26955,10/19/2023
26956,10/20/2023
26957,10/21/2023
26958,10/22/2023
26959,10/23/2023
26960,10/24/2023
26961,10/25/2023
26962,10/26/2023
26963,10/27/2023
26964,10/28/2023
